Average of precision_precondition,Column Labels,,,
Row Labels,rosame,sam_with,sam_without,Grand Total
driverlog,,,,
100,,,,
0.1,,,,
0.2,0.818,0.708,0.68,0.735333333
0.4,0.806,0.68,0.536,0.674
0.6,0.744,0.648,0.464,0.618666667
0.8,0.62,0.634,0.456,0.57
1,0.392,0.536,0.378,0.435333333
0.2,,,,
0.2,0.824,0.834,0.834,0.830666667
0.4,0.818,0.708,0.68,0.735333333
0.6,0.776,0.684,0.55,0.67
0.8,0.592,0.68,0.536,0.602666667
1,0.326,0.334,0.308,0.322666667
0.3,,,,
0.2,0.8,0.834,0.834,0.822666667
0.4,0.806,0.784,0.762,0.784
0.6,0.764,0.708,0.68,0.717333333
0.8,0.64,0.602,0.428,0.556666667
1,0.418,0.424,0.368,0.403333333
0.4,,,,
0.2,0.806,0.834,0.834,0.824666667
0.4,0.842,0.834,0.834,0.836666667
0.6,0.774,0.742,0.73,0.748666667
0.8,0.632,0.446,0.414,0.497333333
1,0.376,0.364,0.368,0.369333333
0.5,,,,
0.2,0.788,0.834,0.834,0.818666667
0.4,0.816,0.834,0.834,0.828
0.6,0.744,0.672,0.506,0.640666667
0.8,0.626,0.628,0.488,0.580666667
1,0.408,0.364,0.414,0.395333333
200,,,,
0.1,,,,
0.2,0.9,0.898,0.888,0.895333333
0.4,0.89,0.866,0.776,0.844
0.6,0.854,0.806,0.62,0.76
0.8,0.796,0.806,0.62,0.740666667
1,0.354,0.674,0.494,0.507333333
0.2,,,,
0.2,0.9,0.976,0.976,0.950666667
0.4,0.89,0.898,0.888,0.892
0.6,0.876,0.892,0.802,0.856666667
0.8,0.796,0.866,0.776,0.812666667
1,0.354,0.27,0.47,0.364666667
0.3,,,,
0.2,0.9,0.976,0.976,0.950666667
0.4,0.89,0.934,0.934,0.919333333
0.6,0.854,0.898,0.888,0.88
0.8,0.796,0.824,0.596,0.738666667
1,0.348,0.442,0.506,0.432
0.4,,,,
0.2,0.9,0.976,0.976,0.950666667
0.4,0.89,0.976,0.976,0.947333333
0.6,0.888,0.91,0.91,0.902666667
0.8,0.784,0.51,0.522,0.605333333
1,0.348,0.41,0.482,0.413333333
0.5,,,,
0.2,0.9,0.976,0.976,0.950666667
0.4,0.89,0.976,0.976,0.947333333
0.6,0.9,0.796,0.648,0.781333333
0.8,0.796,0.746,0.522,0.688
1,0.332,0.434,0.482,0.416
400,,,,
0.1,,,,
0.2,0.89,0.922,0.904,0.905333333
0.4,0.89,0.906,0.764,0.853333333
0.6,0.89,0.818,0.664,0.790666667
0.8,0.788,0.82,0.664,0.757333333
1,0.46,0.568,0.49,0.506
0.2,,,,
0.2,0.89,0.952,0.952,0.931333333
0.4,0.89,0.922,0.904,0.905333333
0.6,0.89,0.906,0.812,0.869333333
0.8,0.76,0.906,0.764,0.81
1,0.4,0.306,0.444,0.383333333
0.3,,,,
0.2,0.89,0.952,0.952,0.931333333
0.4,0.89,0.952,0.952,0.931333333
0.6,0.89,0.922,0.904,0.905333333
0.8,0.778,0.772,0.596,0.715333333
1,0.434,0.456,0.53,0.473333333
0.4,,,,
0.2,0.89,0.952,0.952,0.931333333
0.4,0.89,0.952,0.952,0.931333333
0.6,0.89,0.932,0.922,0.914666667
0.8,0.794,0.622,0.6,0.672
1,0.382,0.418,0.524,0.441333333
0.5,,,,
0.2,0.89,0.952,0.952,0.931333333
0.4,0.89,0.952,0.952,0.931333333
0.6,0.89,0.884,0.636,0.803333333
0.8,0.772,0.784,0.542,0.699333333
1,0.418,0.434,0.5,0.450666667
Grand Total,0.737573333,0.747306667,0.696773333,0.727217778