Algorithm,Domain,Num. Of Traces,Threshold,Epsilon,Fold,precision_effect,precision_precondition,recall_effect,recall_precondition
rosame,satellite,200,0.3,0.4,4,0.4,0.67,0.33,0.38
sam_with,satellite,200,0.3,0.6,0,0.8,0.2,0.13,0.7
sam_without,satellite,200,0.3,0.6,0,1,0.2,0.13,0.9
rosame,satellite,200,0.3,0.6,0,0.25,0.3,0.23,0.3
sam_with,satellite,200,0.3,0.6,1,0.8,0.2,0.07,0.7
sam_without,satellite,200,0.3,0.6,1,1,0.2,0.13,0.9
rosame,satellite,200,0.3,0.6,1,0.25,0.37,0.23,0.35
sam_with,satellite,200,0.3,0.6,2,0.8,0.2,0.07,0.7
sam_without,satellite,200,0.3,0.6,2,1,0.2,0.07,0.9
rosame,satellite,200,0.3,0.6,2,0.23,0.3,0.33,0.26
sam_with,satellite,200,0.3,0.6,3,0.8,0.2,0.07,0.7
sam_without,satellite,200,0.3,0.6,3,1,0.2,0.13,0.9
rosame,satellite,200,0.3,0.6,3,0.27,0.4,0.33,0.31
sam_with,satellite,200,0.3,0.6,4,0.6,0.3,0.07,0.7
sam_without,satellite,200,0.3,0.6,4,1,0.2,0.13,0.9
rosame,satellite,200,0.3,0.6,4,0.31,0.5,0.43,0.36
sam_with,satellite,200,0.3,0.8,0,0.8,0.2,0.13,0.7
sam_without,satellite,200,0.3,0.8,0,0.93,0.1,0.13,0.9
rosame,satellite,200,0.3,0.8,0,0.2,0.37,0.13,0.36
sam_with,satellite,200,0.3,0.8,1,0.8,0.2,0.07,0.7
sam_without,satellite,200,0.3,0.8,1,0.93,0.1,0.13,0.9
rosame,satellite,200,0.3,0.8,1,0.2,0.37,0.13,0.36
sam_with,satellite,200,0.3,0.8,2,0.6,0.2,0,0.7
sam_without,satellite,200,0.3,0.8,2,0.9,0.07,0.07,0.9
rosame,satellite,200,0.3,0.8,2,0.05,0.1,0.1,0.2
sam_with,satellite,200,0.3,0.8,3,0.6,0.2,0,0.7
sam_without,satellite,200,0.3,0.8,3,0.93,0.1,0.13,0.9
rosame,satellite,200,0.3,0.8,3,0.15,0.27,0.17,0.36
sam_with,satellite,200,0.3,0.8,4,0.6,0.27,0.07,0.6
sam_without,satellite,200,0.3,0.8,4,0.73,0.17,0.13,0.8
rosame,satellite,200,0.3,0.8,4,0.2,0.27,0.17,0.36
sam_with,satellite,200,0.3,1,0,0.8,0.2,0.07,0.7
sam_without,satellite,200,0.3,1,0,0.9,0.1,0.13,0.9
rosame,satellite,200,0.3,1,0,0.2,0.27,0.13,0.2
sam_with,satellite,200,0.3,1,1,0.6,0,0,0.6
sam_without,satellite,200,0.3,1,1,0.9,0.1,0.13,0.9
rosame,satellite,200,0.3,1,1,0.18,0,0.37,0
sam_with,satellite,200,0.3,1,2,0.6,0,0,0.6
sam_without,satellite,200,0.3,1,2,0.87,0,0.07,0.8
rosame,satellite,200,0.3,1,2,0.05,0.14,0.1,0.25
sam_with,satellite,200,0.3,1,3,0.6,0,0,0.6
sam_without,satellite,200,0.3,1,3,0.87,0.1,0.07,0.9
rosame,satellite,200,0.3,1,3,0.08,0.2,0.3,0.36
sam_with,satellite,200,0.3,1,4,0.4,0.07,0,0.5
sam_without,satellite,200,0.3,1,4,0.7,0.17,0.13,0.8
rosame,satellite,200,0.3,1,4,0.03,0.17,0.2,0.26
sam_with,satellite,200,0.4,0,0,0.8,0.2,0.13,0.7
sam_without,satellite,200,0.4,0,0,1,0.2,0.13,0.9
rosame,satellite,200,0.4,0,0,0.2,0.29,0.13,0.22
sam_with,satellite,200,0.4,0,1,0.8,0.2,0.13,0.7
sam_without,satellite,200,0.4,0,1,1,0.2,0.13,0.9
rosame,satellite,200,0.4,0,1,0.25,0.43,0.23,0.4
sam_with,satellite,200,0.4,0,2,0.8,0.2,0.13,0.7
sam_without,satellite,200,0.4,0,2,1,0.2,0.13,0.9
rosame,satellite,200,0.4,0,2,0.2,0.37,0.13,0.36
sam_with,satellite,200,0.4,0,3,0.8,0.2,0.13,0.7
sam_without,satellite,200,0.4,0,3,1,0.2,0.13,0.9
rosame,satellite,200,0.4,0,3,0.28,0.33,0.43,0.26
sam_with,satellite,200,0.4,0,4,0.8,0.4,0.33,0.6
sam_without,satellite,200,0.4,0,4,1,0.4,0.33,0.8
rosame,satellite,200,0.4,0,4,0.4,0.57,0.33,0.46
sam_with,satellite,200,0.4,0.2,0,0.8,0.2,0.13,0.7
sam_without,satellite,200,0.4,0.2,0,1,0.2,0.13,0.9
rosame,satellite,200,0.4,0.2,0,0.2,0.47,0.13,0.56
sam_with,satellite,200,0.4,0.2,1,0.8,0.2,0.13,0.7
sam_without,satellite,200,0.4,0.2,1,1,0.2,0.13,0.9
rosame,satellite,200,0.4,0.2,1,0.3,0.5,0.33,0.28
sam_with,satellite,200,0.4,0.2,2,0.8,0.2,0.13,0.7
sam_without,satellite,200,0.4,0.2,2,1,0.2,0.13,0.9
rosame,satellite,200,0.4,0.2,2,0.25,0.4,0.23,0.46
sam_with,satellite,200,0.4,0.2,3,0.8,0.2,0.13,0.7
sam_without,satellite,200,0.4,0.2,3,1,0.2,0.13,0.9
rosame,satellite,200,0.4,0.2,3,0.2,0.4,0.13,0.46
sam_with,satellite,200,0.4,0.2,4,0.8,0.4,0.33,0.6
sam_without,satellite,200,0.4,0.2,4,1,0.4,0.33,0.8
rosame,satellite,200,0.4,0.2,4,0.4,0.67,0.33,0.34
sam_with,satellite,200,0.4,0.4,0,0.8,0.2,0.13,0.7
sam_without,satellite,200,0.4,0.4,0,1,0.2,0.13,0.9
rosame,satellite,200,0.4,0.4,0,0.25,0.27,0.23,0.2
sam_with,satellite,200,0.4,0.4,1,0.8,0.2,0.13,0.7
sam_without,satellite,200,0.4,0.4,1,1,0.2,0.13,0.9
rosame,satellite,200,0.4,0.4,1,0.25,0.2,0.23,0.1
sam_with,satellite,200,0.4,0.4,2,0.8,0.2,0.13,0.7
sam_without,satellite,200,0.4,0.4,2,1,0.2,0.13,0.9
rosame,satellite,200,0.4,0.4,2,0.2,0.2,0.13,0.1
sam_with,satellite,200,0.4,0.4,3,0.8,0.2,0.13,0.7
sam_without,satellite,200,0.4,0.4,3,1,0.2,0.13,0.9
rosame,satellite,200,0.4,0.4,3,0.25,0.45,0.23,0.48
sam_with,satellite,200,0.4,0.4,4,0.8,0.4,0.33,0.6
sam_without,satellite,200,0.4,0.4,4,1,0.4,0.33,0.8
rosame,satellite,200,0.4,0.4,4,0.4,0.5,0.33,0.36
sam_with,satellite,200,0.4,0.6,0,0.8,0.2,0.13,0.7
sam_without,satellite,200,0.4,0.6,0,1,0.2,0.13,0.9
rosame,satellite,200,0.4,0.6,0,0.2,0.47,0.13,0.34
sam_with,satellite,200,0.4,0.6,1,0.8,0.2,0.13,0.7
sam_without,satellite,200,0.4,0.6,1,1,0.2,0.13,0.9
rosame,satellite,200,0.4,0.6,1,0.25,0.37,0.23,0.36
sam_with,satellite,200,0.4,0.6,2,0.8,0.2,0.13,0.7
sam_without,satellite,200,0.4,0.6,2,1,0.2,0.13,0.9
rosame,satellite,200,0.4,0.6,2,0.25,0.27,0.23,0.2
sam_with,satellite,200,0.4,0.6,3,0.8,0.2,0.13,0.7
sam_without,satellite,200,0.4,0.6,3,1,0.2,0.13,0.9
rosame,satellite,200,0.4,0.6,3,0.2,0.2,0.13,0.1
sam_with,satellite,200,0.4,0.6,4,0.8,0.33,0.17,0.7
sam_without,satellite,200,0.4,0.6,4,1,0.33,0.23,0.9
rosame,satellite,200,0.4,0.6,4,0.3,0.37,0.23,0.3
sam_with,satellite,200,0.4,0.8,0,0.8,0.2,0.07,0.7
sam_without,satellite,200,0.4,0.8,0,0.9,0.1,0.13,0.9
rosame,satellite,200,0.4,0.8,0,0.23,0.3,0.33,0.3
sam_with,satellite,200,0.4,0.8,1,0.6,0,0,0.6
sam_without,satellite,200,0.4,0.8,1,0.9,0.1,0.13,0.9
rosame,satellite,200,0.4,0.8,1,0.25,0.27,0.23,0.2
sam_with,satellite,200,0.4,0.8,2,0.6,0,0,0.6
sam_without,satellite,200,0.4,0.8,2,0.87,0,0.07,0.8
rosame,satellite,200,0.4,0.8,2,0.07,0.27,0.1,0.2
sam_with,satellite,200,0.4,0.8,3,0.6,0,0,0.6
sam_without,satellite,200,0.4,0.8,3,0.9,0.1,0.13,0.9
rosame,satellite,200,0.4,0.8,3,0.2,0.2,0.37,0.3
sam_with,satellite,200,0.4,0.8,4,0.4,0.07,0,0.5
sam_without,satellite,200,0.4,0.8,4,0.7,0.17,0.13,0.8
rosame,satellite,200,0.4,0.8,4,0.23,0.1,0.37,0.1
sam_with,satellite,200,0.4,1,0,0.8,0.2,0.07,0.7
sam_without,satellite,200,0.4,1,0,0.9,0.1,0.13,0.9
rosame,satellite,200,0.4,1,0,0.2,0.3,0.13,0.15
sam_with,satellite,200,0.4,1,1,0.6,0,0,0.6
sam_without,satellite,200,0.4,1,1,0.9,0.1,0.13,0.9
rosame,satellite,200,0.4,1,1,0.1,0.28,0.07,0.46
sam_with,satellite,200,0.4,1,2,0.6,0,0,0.6
sam_without,satellite,200,0.4,1,2,0.87,0,0.07,0.8
rosame,satellite,200,0.4,1,2,0,0.23,0,0.26
sam_with,satellite,200,0.4,1,3,0.6,0,0,0.6
sam_without,satellite,200,0.4,1,3,0.9,0.1,0.13,0.9
rosame,satellite,200,0.4,1,3,0,0.23,0,0.36
sam_with,satellite,200,0.4,1,4,0.4,0.07,0,0.5
sam_without,satellite,200,0.4,1,4,0.7,0.17,0.13,0.8
rosame,satellite,200,0.4,1,4,0,0.27,0,0.36
sam_with,satellite,200,0.5,0,0,0.8,0.2,0.13,0.7
sam_without,satellite,200,0.5,0,0,1,0.2,0.13,0.9
rosame,satellite,200,0.5,0,0,0.2,0.27,0.13,0.2
sam_with,satellite,200,0.5,0,1,0.8,0.2,0.13,0.7
sam_without,satellite,200,0.5,0,1,1,0.2,0.13,0.9
rosame,satellite,200,0.5,0,1,0.2,0.5,0.13,0.56
sam_with,satellite,200,0.5,0,2,0.8,0.2,0.13,0.7
sam_without,satellite,200,0.5,0,2,1,0.2,0.13,0.9
rosame,satellite,200,0.5,0,2,0.2,0.43,0.13,0.46
sam_with,satellite,200,0.5,0,3,0.8,0.2,0.13,0.7
sam_without,satellite,200,0.5,0,3,1,0.2,0.13,0.9
rosame,satellite,200,0.5,0,3,0.4,0.4,0.23,0.4
sam_with,satellite,200,0.5,0,4,0.8,0.4,0.33,0.6
sam_without,satellite,200,0.5,0,4,1,0.4,0.33,0.8
rosame,satellite,200,0.5,0,4,0.4,0.47,0.33,0.3
sam_with,satellite,200,0.5,0.2,0,0.8,0.2,0.13,0.7
sam_without,satellite,200,0.5,0.2,0,1,0.2,0.13,0.9
rosame,satellite,200,0.5,0.2,0,0.28,0.3,0.43,0.26
sam_with,satellite,200,0.5,0.2,1,0.8,0.2,0.13,0.7
sam_without,satellite,200,0.5,0.2,1,1,0.2,0.13,0.9
rosame,satellite,200,0.5,0.2,1,0.2,0.4,0.13,0.36
sam_with,satellite,200,0.5,0.2,2,0.8,0.2,0.13,0.7
sam_without,satellite,200,0.5,0.2,2,1,0.2,0.13,0.9
rosame,satellite,200,0.5,0.2,2,0.25,0.37,0.23,0.36
sam_with,satellite,200,0.5,0.2,3,0.8,0.2,0.13,0.7
sam_without,satellite,200,0.5,0.2,3,1,0.2,0.13,0.9
rosame,satellite,200,0.5,0.2,3,0.28,0.3,0.43,0.26
sam_with,satellite,200,0.5,0.2,4,0.8,0.4,0.33,0.6
sam_without,satellite,200,0.5,0.2,4,1,0.4,0.33,0.8
rosame,satellite,200,0.5,0.2,4,0.4,0.53,0.33,0.34
sam_with,satellite,200,0.5,0.4,0,0.8,0.2,0.13,0.7
sam_without,satellite,200,0.5,0.4,0,1,0.2,0.13,0.9
rosame,satellite,200,0.5,0.4,0,0.25,0.33,0.23,0.3
sam_with,satellite,200,0.5,0.4,1,0.8,0.2,0.13,0.7
sam_without,satellite,200,0.5,0.4,1,1,0.2,0.13,0.9
rosame,satellite,200,0.5,0.4,1,0.23,0.2,0.33,0.1
sam_with,satellite,200,0.5,0.4,2,0.8,0.2,0.13,0.7
sam_without,satellite,200,0.5,0.4,2,1,0.2,0.13,0.9
rosame,satellite,200,0.5,0.4,2,0.2,0.3,0.13,0.26
sam_with,satellite,200,0.5,0.4,3,0.8,0.2,0.13,0.7
sam_without,satellite,200,0.5,0.4,3,1,0.2,0.13,0.9
rosame,satellite,200,0.5,0.4,3,0.23,0.38,0.33,0.38
sam_with,satellite,200,0.5,0.4,4,0.8,0.4,0.33,0.6
sam_without,satellite,200,0.5,0.4,4,1,0.4,0.33,0.8
rosame,satellite,200,0.5,0.4,4,0.4,0.67,0.33,0.38
sam_with,satellite,200,0.5,0.6,0,0.8,0.2,0.13,0.7
sam_without,satellite,200,0.5,0.6,0,0.93,0.1,0.13,0.9
rosame,satellite,200,0.5,0.6,0,0.3,0.3,0.33,0.3
sam_with,satellite,200,0.5,0.6,1,0.8,0.2,0.13,0.7
sam_without,satellite,200,0.5,0.6,1,0.93,0.1,0.13,0.9
rosame,satellite,200,0.5,0.6,1,0.2,0.3,0.13,0.3
sam_with,satellite,200,0.5,0.6,2,0.7,0.1,0.07,0.7
sam_without,satellite,200,0.5,0.6,2,0.93,0.1,0.13,0.9
rosame,satellite,200,0.5,0.6,2,0.2,0.4,0.13,0.36
sam_with,satellite,200,0.5,0.6,3,0.7,0.1,0.07,0.7
sam_without,satellite,200,0.5,0.6,3,0.93,0.1,0.13,0.9
rosame,satellite,200,0.5,0.6,3,0.25,0.34,0.23,0.31
sam_with,satellite,200,0.5,0.6,4,0.7,0.3,0.17,0.6
sam_without,satellite,200,0.5,0.6,4,0.83,0.2,0.23,0.8
rosame,satellite,200,0.5,0.6,4,0.27,0.57,0.23,0.46
sam_with,satellite,200,0.5,0.8,0,0.8,0.2,0.13,0.7
sam_without,satellite,200,0.5,0.8,0,0.9,0.1,0.13,0.9
rosame,satellite,200,0.5,0.8,0,0.2,0.37,0.13,0.4
sam_with,satellite,200,0.5,0.8,1,0.8,0.2,0.07,0.7
sam_without,satellite,200,0.5,0.8,1,0.9,0.1,0.13,0.9
rosame,satellite,200,0.5,0.8,1,0.25,0.37,0.23,0.4
sam_with,satellite,200,0.5,0.8,2,0.7,0.1,0.07,0.7
sam_without,satellite,200,0.5,0.8,2,0.9,0.1,0.13,0.9
rosame,satellite,200,0.5,0.8,2,0.03,0.3,0.2,0.41
sam_with,satellite,200,0.5,0.8,3,0.7,0.1,0.07,0.7
sam_without,satellite,200,0.5,0.8,3,0.9,0.1,0.13,0.9
rosame,satellite,200,0.5,0.8,3,0.18,0.1,0.37,0.1
sam_with,satellite,200,0.5,0.8,4,0.5,0.1,0.1,0.5
sam_without,satellite,200,0.5,0.8,4,0.8,0.2,0.23,0.8
rosame,satellite,200,0.5,0.8,4,0.2,0.17,0.17,0.2
sam_with,satellite,200,0.5,1,0,0.7,0.1,0.07,0.7
sam_without,satellite,200,0.5,1,0,0.9,0.1,0.13,0.9
rosame,satellite,200,0.5,1,0,0.2,0.4,0.13,0.36
sam_with,satellite,200,0.5,1,1,0.6,0,0,0.6
sam_without,satellite,200,0.5,1,1,0.9,0.1,0.13,0.9
rosame,satellite,200,0.5,1,1,0.15,0.15,0.17,0.24
sam_with,satellite,200,0.5,1,2,0.6,0,0,0.6
sam_without,satellite,200,0.5,1,2,0.87,0,0.07,0.8
rosame,satellite,200,0.5,1,2,0.05,0.17,0.1,0.21
sam_with,satellite,200,0.5,1,3,0.6,0,0,0.6
sam_without,satellite,200,0.5,1,3,0.9,0.1,0.13,0.9
rosame,satellite,200,0.5,1,3,0,0.1,0,0.04
sam_with,satellite,200,0.5,1,4,0.4,0.07,0,0.5
sam_without,satellite,200,0.5,1,4,0.7,0.17,0.13,0.8
rosame,satellite,200,0.5,1,4,0.04,0.1,0.2,0.1
sam_with,satellite,400,0.1,0,0,0.8,0.2,0.13,0.7
sam_without,satellite,400,0.1,0,0,1,0.2,0.13,0.9
rosame,satellite,400,0.1,0,0,0.25,0.3,0.23,0.26
sam_with,satellite,400,0.1,0,1,0.8,0.4,0.33,0.6
sam_without,satellite,400,0.1,0,1,1,0.4,0.33,0.8
rosame,satellite,400,0.1,0,1,0.4,0.57,0.33,0.46
sam_with,satellite,400,0.1,0,2,0.8,0.4,0.33,0.6
sam_without,satellite,400,0.1,0,2,1,0.4,0.33,0.8
rosame,satellite,400,0.1,0,2,0.4,0.57,0.33,0.46
sam_with,satellite,400,0.1,0,3,0.8,0.2,0.13,0.7
sam_without,satellite,400,0.1,0,3,1,0.2,0.13,0.9
rosame,satellite,400,0.1,0,3,0.23,0.3,0.33,0.3
sam_with,satellite,400,0.1,0,4,0.8,0.2,0.13,0.7
sam_without,satellite,400,0.1,0,4,1,0.2,0.13,0.9
rosame,satellite,400,0.1,0,4,0.2,0.51,0.13,0.36
sam_with,satellite,400,0.1,0.2,0,0.8,0.2,0.07,0.7
sam_without,satellite,400,0.1,0.2,0,1,0.2,0.13,0.9
rosame,satellite,400,0.1,0.2,0,0.29,0.5,0.43,0.35
sam_with,satellite,400,0.1,0.2,1,0.8,0.4,0.17,0.6
sam_without,satellite,400,0.1,0.2,1,1,0.4,0.23,0.8
rosame,satellite,400,0.1,0.2,1,0.43,0.4,0.53,0.2
sam_with,satellite,400,0.1,0.2,2,0.8,0.4,0.17,0.6
sam_without,satellite,400,0.1,0.2,2,1,0.4,0.23,0.8
rosame,satellite,400,0.1,0.2,2,0.4,0.47,0.33,0.3
sam_with,satellite,400,0.1,0.2,3,0.8,0.2,0.07,0.7
sam_without,satellite,400,0.1,0.2,3,1,0.2,0.13,0.9
rosame,satellite,400,0.1,0.2,3,0.28,0.2,0.43,0.1
sam_with,satellite,400,0.1,0.2,4,0.8,0.2,0.07,0.7
sam_without,satellite,400,0.1,0.2,4,1,0.2,0.07,0.9
rosame,satellite,400,0.1,0.2,4,0.25,0.2,0.23,0.1
sam_with,satellite,400,0.1,0.4,0,0.6,0.1,0,0.7
sam_without,satellite,400,0.1,0.4,0,1,0.1,0.07,0.9
rosame,satellite,400,0.1,0.4,0,0.2,0.37,0.13,0.4
sam_with,satellite,400,0.1,0.4,1,0.8,0.4,0.17,0.7
sam_without,satellite,400,0.1,0.4,1,1,0.4,0.23,0.9
rosame,satellite,400,0.1,0.4,1,0.43,0.4,0.53,0.2
sam_with,satellite,400,0.1,0.4,2,0.8,0.4,0.17,0.6
sam_without,satellite,400,0.1,0.4,2,1,0.4,0.23,0.8
rosame,satellite,400,0.1,0.4,2,0.4,0.5,0.33,0.36
sam_with,satellite,400,0.1,0.4,3,0.8,0.2,0.07,0.7
sam_without,satellite,400,0.1,0.4,3,1,0.2,0.13,0.9
rosame,satellite,400,0.1,0.4,3,0.2,0.37,0.13,0.36
sam_with,satellite,400,0.1,0.4,4,0.8,0.13,0.07,0.8
sam_without,satellite,400,0.1,0.4,4,1,0.13,0.07,1
rosame,satellite,400,0.1,0.4,4,0.2,0.47,0.13,0.56
sam_with,satellite,400,0.1,0.6,0,0.6,0.13,0,0.8
sam_without,satellite,400,0.1,0.6,0,1,0.13,0.07,1
rosame,satellite,400,0.1,0.6,0,0.2,0.43,0.13,0.34
sam_with,satellite,400,0.1,0.6,1,0.8,0.4,0.17,0.8
sam_without,satellite,400,0.1,0.6,1,1,0.4,0.23,1
rosame,satellite,400,0.1,0.6,1,0.3,0.35,0.23,0.31
sam_with,satellite,400,0.1,0.6,2,0.8,0.4,0.17,0.8
sam_without,satellite,400,0.1,0.6,2,1,0.4,0.23,1
rosame,satellite,400,0.1,0.6,2,0.43,0.4,0.53,0.2
sam_with,satellite,400,0.1,0.6,3,0.8,0.2,0.07,0.8
sam_without,satellite,400,0.1,0.6,3,1,0.2,0.13,1
rosame,satellite,400,0.1,0.6,3,0.3,0.47,0.33,0.3
sam_with,satellite,400,0.1,0.6,4,0.8,0.13,0.07,0.8
sam_without,satellite,400,0.1,0.6,4,1,0.13,0.07,1
rosame,satellite,400,0.1,0.6,4,0.25,0.47,0.23,0.56
sam_with,satellite,400,0.1,0.8,0,0.6,0.13,0,0.8
sam_without,satellite,400,0.1,0.8,0,1,0.13,0.07,1
rosame,satellite,400,0.1,0.8,0,0.25,0.2,0.23,0.1
sam_with,satellite,400,0.1,0.8,1,0.8,0.33,0.17,0.8
sam_without,satellite,400,0.1,0.8,1,1,0.33,0.23,1
rosame,satellite,400,0.1,0.8,1,0.3,0.37,0.23,0.24
sam_with,satellite,400,0.1,0.8,2,0.8,0.4,0.17,0.8
sam_without,satellite,400,0.1,0.8,2,1,0.4,0.23,1
rosame,satellite,400,0.1,0.8,2,0.33,0.3,0.47,0.2
sam_with,satellite,400,0.1,0.8,3,0.8,0.2,0.07,0.8
sam_without,satellite,400,0.1,0.8,3,1,0.2,0.13,1
rosame,satellite,400,0.1,0.8,3,0.2,0.3,0.13,0.3
sam_with,satellite,400,0.1,0.8,4,0.8,0.13,0.07,0.8
sam_without,satellite,400,0.1,0.8,4,1,0.13,0.07,1
rosame,satellite,400,0.1,0.8,4,0.13,0.08,0.27,0.08
sam_with,satellite,400,0.1,1,0,0.6,0.13,0,0.8
sam_without,satellite,400,0.1,1,0,0.9,0.13,0.07,1
rosame,satellite,400,0.1,1,0,0,0.23,0,0.27
sam_with,satellite,400,0.1,1,1,0.7,0.3,0.17,0.7
sam_without,satellite,400,0.1,1,1,0.83,0.23,0.23,0.9
rosame,satellite,400,0.1,1,1,0.13,0.3,0.3,0.22
sam_with,satellite,400,0.1,1,2,0.6,0.4,0.1,0.8
sam_without,satellite,400,0.1,1,2,0.93,0.33,0.23,1
rosame,satellite,400,0.1,1,2,0.13,0,0.3,0
sam_with,satellite,400,0.1,1,3,0.6,0.2,0,0.8
sam_without,satellite,400,0.1,1,3,0.93,0.13,0.13,1
rosame,satellite,400,0.1,1,3,0.12,0.2,0.3,0.3
sam_with,satellite,400,0.1,1,4,0.6,0.13,0,0.8
sam_without,satellite,400,0.1,1,4,0.9,0.1,0.07,1
rosame,satellite,400,0.1,1,4,0.1,0.27,0.07,0.3
sam_with,satellite,400,0.2,0,0,0.8,0.2,0.13,0.7
sam_without,satellite,400,0.2,0,0,1,0.2,0.13,0.9
rosame,satellite,400,0.2,0,0,0.2,0.24,0.13,0.15
sam_with,satellite,400,0.2,0,1,0.8,0.4,0.33,0.6
sam_without,satellite,400,0.2,0,1,1,0.4,0.33,0.8
rosame,satellite,400,0.2,0,1,0.4,0.57,0.33,0.46
sam_with,satellite,400,0.2,0,2,0.8,0.4,0.33,0.6
sam_without,satellite,400,0.2,0,2,1,0.4,0.33,0.8
rosame,satellite,400,0.2,0,2,0.43,0.5,0.53,0.36
sam_with,satellite,400,0.2,0,3,0.8,0.2,0.13,0.7
sam_without,satellite,400,0.2,0,3,1,0.2,0.13,0.9
rosame,satellite,400,0.2,0,3,0.28,0.3,0.43,0.3
sam_with,satellite,400,0.2,0,4,0.8,0.2,0.13,0.7
sam_without,satellite,400,0.2,0,4,1,0.2,0.13,0.9
rosame,satellite,400,0.2,0,4,0.2,0.47,0.13,0.56
sam_with,satellite,400,0.2,0.2,0,0.8,0.2,0.13,0.7
sam_without,satellite,400,0.2,0.2,0,1,0.2,0.13,0.9
rosame,satellite,400,0.2,0.2,0,0.28,0.2,0.43,0.1
sam_with,satellite,400,0.2,0.2,1,0.8,0.4,0.33,0.6
sam_without,satellite,400,0.2,0.2,1,1,0.4,0.33,0.8
rosame,satellite,400,0.2,0.2,1,0.4,0.4,0.33,0.2
sam_with,satellite,400,0.2,0.2,2,0.8,0.4,0.33,0.6
