,Column Labels,,,,,,,,,,,
,Sum of recall_precondition,,Sum of recall_effect,,Sum of precision_precondition,,Sum of precision_effect,,Total Sum of recall_precondition,Total Sum of recall_effect,Total Sum of precision_precondition,Total Sum of precision_effect
Row Labels,rosame,sam,rosame,sam,rosame,sam,rosame,sam,,,,
depot,4.82,6,4.35,5.25,4.91,4.99,4.77,6,10.82,9.6,9.9,10.77
10,0.71,1,0.6,0.7,0.67,0.68,0.46,1,1.71,1.3,1.35,1.46
100,0.88,1,0.75,0.85,0.75,0.81,0.71,1,1.88,1.6,1.56,1.71
200,0.65,1,0.6,0.7,0.61,0.68,0.6,1,1.65,1.3,1.29,1.6
300,0.82,1,0.8,1,1,0.94,1,1,1.82,1.8,1.94,2
400,0.88,1,0.8,1,0.94,0.94,1,1,1.88,1.8,1.88,2
1000,0.88,1,0.8,1,0.94,0.94,1,1,1.88,1.8,1.88,2
driverlog,5.87,6.09,6.57,6.43,5.83,6.36,6.4,7,11.96,13,12.19,13.4
10,0.71,0.93,0.57,0.43,0.67,0.52,0.4,1,1.64,1,1.19,1.4
100,0.86,0.86,1,1,0.86,0.92,1,1,1.72,2,1.78,2
200,0.86,0.86,1,1,0.86,0.92,1,1,1.72,2,1.78,2
300,0.86,0.86,1,1,0.86,1,1,1,1.72,2,1.86,2
400,0.86,0.86,1,1,0.86,1,1,1,1.72,2,1.86,2
1000,0.86,0.86,1,1,0.86,1,1,1,1.72,2,1.86,2
10000,0.86,0.86,1,1,0.86,1,1,1,1.72,2,1.86,2
rover,3.18,3.87,3.59,3.93,3.01,3.69,6.11,7,7.05,7.52,6.7,13.11
10,0.38,0.69,0.47,0.43,0.3,0.22,0.34,1,1.07,0.9,0.52,1.34
100,0.49,0.53,0.47,0.5,0.23,0.28,0.88,1,1.02,0.97,0.51,1.88
200,0.51,0.53,0.53,0.6,0.47,0.59,1,1,1.04,1.13,1.06,2
300,0.49,0.53,0.53,0.6,0.5,0.59,1,1,1.02,1.13,1.09,2
400,0.36,0.53,0.53,0.6,0.48,0.59,1,1,0.89,1.13,1.07,2
1000,0.44,0.53,0.53,0.6,0.53,0.62,0.89,1,0.97,1.13,1.15,1.89
10000,0.51,0.53,0.53,0.6,0.5,0.8,1,1,1.04,1.13,1.3,2
Grand Total,13.87,15.96,14.51,15.61,13.75,15.04,17.28,20,29.83,30.12,28.79,37.28