Algorithm,Domain,Num. Of Traces,Threshold,Epsilon,Fold,Unobserved_actions,precision_effect,precision_precondition,recall_effect,recall_precondition
sam,rover,10,0.1,0,0,5,1,0.25,0.44,1
rosame,rover,10,0.1,0,0,0,0.47,0.28,0.57,0.57
sam,rover,10,0.1,0,1,3,1,0.35,0.58,1
rosame,rover,10,0.1,0,1,0,0.68,0.37,0.69,0.79
sam,rover,10,0.1,0,2,4,1,0.35,0.56,1
rosame,rover,10,0.1,0,2,0,0.56,0.5,0.6,0.7
sam,rover,10,0.1,0,3,7,1,0.16,0.22,1
rosame,rover,10,0.1,0,3,0,0.24,0.38,0.32,0.83
sam,rover,10,0.1,0,4,5,1,0.2,0.36,1
rosame,rover,10,0.1,0,4,0,0.48,0.23,0.47,0.57
sam,rover,50,0.1,0,0,2,1,0.5,0.69,1
rosame,rover,50,0.1,0,0,0,0.79,0.48,0.76,0.79
sam,rover,50,0.1,0,1,1,1,0.49,0.71,1
rosame,rover,50,0.1,0,1,0,0.78,0.5,0.63,0.9
sam,rover,50,0.1,0,2,3,1,0.39,0.58,1
rosame,rover,50,0.1,0,2,0,0.56,0.37,0.62,0.7
sam,rover,50,0.1,0,3,6,1,0.19,0.28,1
rosame,rover,50,0.1,0,3,0,0.35,0.28,0.38,0.61
sam,rover,50,0.1,0,4,6,1,0.17,0.28,1
rosame,rover,50,0.1,0,4,0,0.37,0.27,0.43,0.71
sam,rover,100,0.1,0,0,2,1,0.53,0.69,1
rosame,rover,100,0.1,0,0,0,0.67,0.55,0.67,0.9
sam,rover,100,0.1,0,1,3,1,0.35,0.49,1
rosame,rover,100,0.1,0,1,0,0.58,0.41,0.44,0.84
sam,rover,100,0.1,0,2,4,1,0.27,0.47,1
rosame,rover,100,0.1,0,2,0,0.44,0.34,0.39,0.81
sam,rover,100,0.1,0,3,5,1,0.22,0.36,1
rosame,rover,100,0.1,0,3,0,0.39,0.28,0.44,0.72
sam,rover,100,0.1,0,4,6,1,0.17,0.28,1
rosame,rover,100,0.1,0,4,0,0.37,0.32,0.39,0.79
sam,rover,200,0.1,0,0,1,1,0.56,0.71,1
rosame,rover,200,0.1,0,0,0,0.78,0.54,0.69,0.9
sam,rover,200,0.1,0,1,6,1,0.18,0.33,1
rosame,rover,200,0.1,0,1,0,0.4,0.33,0.44,0.84
sam,rover,200,0.1,0,2,6,1,0.17,0.28,1
rosame,rover,200,0.1,0,2,0,0.37,0.31,0.39,0.76
sam,rover,200,0.1,0,3,6,1,0.17,0.28,1
rosame,rover,200,0.1,0,3,0,0.36,0.3,0.36,0.73
sam,rover,200,0.1,0,4,6,1,0.17,0.28,1
rosame,rover,200,0.1,0,4,0,0.35,0.34,0.33,0.84
sam,rover,300,0.1,0,0,0,1,0.59,0.73,1
rosame,rover,300,0.1,0,0,0,0.67,0.53,0.67,0.9
sam,rover,300,0.1,0,1,6,1,0.17,0.28,1
rosame,rover,300,0.1,0,1,0,0.35,0.29,0.33,0.72
sam,rover,300,0.1,0,2,5,1,0.22,0.36,1
rosame,rover,300,0.1,0,2,0,0.35,0.31,0.33,0.76
sam,rover,300,0.1,0,3,6,1,0.17,0.28,1
rosame,rover,300,0.1,0,3,0,0.37,0.31,0.39,0.76
sam,rover,300,0.1,0,4,5,1,0.23,0.36,1
rosame,rover,300,0.1,0,4,0,0.37,0.34,0.39,0.84
sam,rover,400,0.1,0,0,2,1,0.54,0.69,1
rosame,rover,400,0.1,0,0,0,0.67,0.51,0.61,0.9
sam,rover,400,0.1,0,1,6,1,0.17,0.28,1
rosame,rover,400,0.1,0,1,0,0.47,0.36,0.42,0.86
sam,rover,400,0.1,0,2,5,1,0.22,0.36,1
rosame,rover,400,0.1,0,2,0,0.33,0.34,0.28,0.83
sam,rover,400,0.1,0,3,6,1,0.17,0.28,1
rosame,rover,400,0.1,0,3,0,0.37,0.32,0.39,0.81
sam,rover,400,0.1,0,4,6,1,0.17,0.28,1
rosame,rover,400,0.1,0,4,0,0.35,0.32,0.33,0.81
sam,depot,10,0.1,0,0,2,1,0.57,0.6,1
rosame,depot,10,0.1,0,0,0,0.57,0.74,0.6,1
sam,depot,10,0.1,0,1,2,1,0.57,0.6,1
rosame,depot,10,0.1,0,1,0,0.68,0.57,0.8,0.6
sam,depot,10,0.1,0,2,2,1,0.57,0.6,1
rosame,depot,10,0.1,0,2,0,0.62,0.76,0.67,0.85
sam,depot,10,0.1,0,3,2,1,0.57,0.6,1
rosame,depot,10,0.1,0,3,0,0.62,0.84,0.67,0.85
sam,depot,10,0.1,0,4,2,1,0.57,0.6,1
rosame,depot,10,0.1,0,4,0,0.62,0.6,0.67,0.67
sam,depot,50,0.1,0,0,1,1,0.77,0.8,1
rosame,depot,50,0.1,0,0,0,0.8,0.92,0.73,0.95
sam,depot,50,0.1,0,1,0,1,0.97,1,1
rosame,depot,50,0.1,0,1,0,0.97,0.97,1,0.95
sam,depot,50,0.1,0,2,0,1,0.97,1,1
rosame,depot,50,0.1,0,2,0,1,0.97,1,1
sam,depot,50,0.1,0,3,0,1,0.97,1,1
rosame,depot,50,0.1,0,3,0,0.97,0.96,1,0.96
sam,depot,50,0.1,0,4,0,1,0.97,1,1
rosame,depot,50,0.1,0,4,0,1,0.96,1,0.96
sam,depot,100,0.1,0,0,0,1,0.97,1,1
rosame,depot,100,0.1,0,0,0,1,0.97,1,1
sam,depot,100,0.1,0,1,0,1,0.97,1,1
rosame,depot,100,0.1,0,1,0,1,0.97,1,1
sam,depot,100,0.1,0,2,0,1,0.97,1,1
rosame,depot,100,0.1,0,2,0,0.95,1,1,0.96
sam,depot,100,0.1,0,3,0,1,0.97,1,1
rosame,depot,100,0.1,0,3,0,0.97,0.97,1,0.95
sam,depot,100,0.1,0,4,0,1,0.97,1,1
rosame,depot,100,0.1,0,4,0,1,0.97,1,1
sam,depot,200,0.1,0,0,0,1,0.97,1,1
rosame,depot,200,0.1,0,0,0,1,0.97,1,1
sam,depot,200,0.1,0,1,0,1,0.97,1,1
rosame,depot,200,0.1,0,1,0,0.97,0.97,1,1
sam,depot,200,0.1,0,2,0,1,0.97,1,1
rosame,depot,200,0.1,0,2,0,0.92,0.97,1,0.87
sam,depot,200,0.1,0,3,0,1,0.97,1,1
rosame,depot,200,0.1,0,3,0,0.95,0.97,1,0.95
sam,depot,200,0.1,0,4,0,1,0.97,1,1
rosame,depot,200,0.1,0,4,0,1,0.97,1,1
sam,depot,300,0.1,0,0,0,1,0.97,1,1
rosame,depot,300,0.1,0,0,0,1,0.97,1,1
sam,depot,300,0.1,0,1,0,1,0.97,1,1
rosame,depot,300,0.1,0,1,0,1,0.97,1,1
sam,depot,300,0.1,0,2,0,1,0.97,1,1
rosame,depot,300,0.1,0,2,0,1,0.97,1,1
sam,depot,300,0.1,0,3,0,1,0.97,1,1
rosame,depot,300,0.1,0,3,0,1,0.97,1,1
sam,depot,300,0.1,0,4,0,1,0.97,1,1
rosame,depot,300,0.1,0,4,0,1,0.97,1,1
sam,depot,400,0.1,0,0,0,1,0.97,1,1
rosame,depot,400,0.1,0,0,0,0.97,0.97,1,0.95
sam,depot,400,0.1,0,1,0,1,0.97,1,1
rosame,depot,400,0.1,0,1,0,1,0.97,1,1
sam,depot,400,0.1,0,2,0,1,0.97,1,1
rosame,depot,400,0.1,0,2,0,0.95,0.97,1,0.93
sam,depot,400,0.1,0,3,0,1,0.97,1,1
rosame,depot,400,0.1,0,3,0,1,0.97,1,1
sam,depot,400,0.1,0,4,0,1,0.97,1,1
rosame,depot,400,0.1,0,4,0,1,0.97,1,1