Sum of precision_precondition,Column Labels,,
Row Labels,with_remove_effects,without_remove_effects,Grand Total
50,,,
0.1,,,
0.2,0.82,0.75,1.57
0.4,0.5,0.47,0.97
0.6,0.41,0.41,0.82
0.8,0.41,0.41,0.82
1,0.38,0.38,0.76
0.2,,,
0.2,1,1,2
0.4,0.82,0.75,1.57
0.6,0.56,0.53,1.09
0.8,0.5,0.47,0.97
1,0.41,0.42,0.83
0.3,,,
0.2,1,1,2
0.4,1,1,2
0.6,0.82,0.75,1.57
0.8,0.57,0.5,1.07
1,0.42,0.35,0.77
0.4,,,
0.2,1,1,2
0.4,1,1,2
0.6,0.82,0.75,1.57
0.8,0.82,0.67,1.49
1,0.67,0.36,1.03
0.5,,,
0.2,1,1,2
0.4,1,1,2
0.6,1,0.89,1.89
0.8,0.78,0.4,1.18
1,0.56,0.3,0.86
100,,,
0.1,,,
0.2,0.82,0.75,1.57
0.4,0.56,0.53,1.09
0.6,0.41,0.41,0.82
0.8,0.41,0.41,0.82
1,0.38,0.38,0.76
0.2,,,
0.2,1,1,2
0.4,0.82,0.75,1.57
0.6,0.56,0.53,1.09
0.8,0.56,0.53,1.09
1,0.41,0.42,0.83
0.3,,,
0.2,1,1,2
0.4,1,1,2
0.6,0.82,0.75,1.57
0.8,0.57,0.5,1.07
1,0.36,0.35,0.71
0.4,,,
0.2,1,1,2
0.4,1,1,2
0.6,0.82,0.75,1.57
0.8,0.8,0.67,1.47
1,0.5,0.36,0.86
0.5,,,
0.2,1,1,2
0.4,1,1,2
0.6,0.9,0.89,1.79
0.8,0.62,0.4,1.02
1,0.5,0.3,0.8
max,,,
0.1,,,
0.2,0.82,0.75,1.57
0.4,0.53,0.53,1.06
0.6,0.47,0.47,0.94
0.8,0.47,0.47,0.94
1,0.5,0.5,1
0.2,,,
0.2,1,1,2
0.4,0.82,0.75,1.57
0.6,0.56,0.53,1.09
0.8,0.53,0.53,1.06
1,0.5,0.47,0.97
0.3,,,
0.2,1,1,2
0.4,1,1,2
0.6,0.82,0.75,1.57
0.8,0.8,0.67,1.47
1,0.29,0.4,0.69
0.4,,,
0.2,1,1,2
0.4,1,1,2
0.6,0.82,0.75,1.57
0.8,0.82,0.67,1.49
1,0.33,0.36,0.69
0.5,,,
0.2,1,1,2
0.4,1,1,2
0.6,1,0.89,1.89
0.8,0.7,0.4,1.1
1,0.7,0.3,1
Grand Total,54.57,50.43,105